OBJECTID *,Symbol,Description,Symbol_Description,FGDCPageNumber,AzimuthMeasurementConvention,PointOfObservation,FGDC_Symbols_ID,created_user,created_date,last_edited_user,last_edited_date
1,01.01.01,Contact—Identity and existence are certain. Location is accurate.,01.01.01 Contact—Identity and existence are certain. Location is accurate.,A-1-1,not applicable,not applicable,FGDC0001,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
2,01.01.02,Contact—Identity or existence are questionable. Location is accurate.,01.01.02 Contact—Identity or existence are questionable. Location is accurate.,A-1-1,not applicable,not applicable,FGDC0002,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
3,01.01.03,Contact—Identity and existence are certain. Location is approximate.,01.01.03 Contact—Identity and existence are certain. Location is approximate.,A-1-1,not applicable,not applicable,FGDC0003,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
4,01.01.04,Contact—Identity or existence are questionable. Location is approximate.,01.01.04 Contact—Identity or existence are questionable. Location is approximate.,A-1-1,not applicable,not applicable,FGDC0004,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
5,01.01.05,Contact—Identity and existence are certain. Location is inferred.,01.01.05 Contact—Identity and existence are certain. Location is inferred.,A-1-1,not applicable,not applicable,FGDC0005,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
6,01.01.06,Contact—Identity or existence are questionable. Location is inferred.,01.01.06 Contact—Identity or existence are questionable. Location is inferred.,A-1-1,not applicable,not applicable,FGDC0006,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
7,01.01.07,Contact—Identity and existence are certain. Location is concealed.,01.01.07 Contact—Identity and existence are certain. Location is concealed.,A-1-1,not applicable,not applicable,FGDC0007,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
8,01.01.08,Contact—Identity or existence are questionable. Location is concealed.,01.01.08 Contact—Identity or existence are questionable. Location is concealed.,A-1-1,not applicable,not applicable,FGDC0008,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
9,01.01.09,Internal contact—Identity and existence are certain. Location is accurate.,01.01.09 Internal contact—Identity and existence are certain. Location is accurate.,A-1-1,not applicable,not applicable,FGDC0009,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
10,01.01.10,Internal contact—Identity or existence are questionable. Location is accurate.,01.01.10 Internal contact—Identity or existence are questionable. Location is accurate.,A-1-1,not applicable,not applicable,FGDC0010,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
11,01.01.11,Internal contact—Identity and existence are certain. Location is approximate.,01.01.11 Internal contact—Identity and existence are certain. Location is approximate.,A-1-1,not applicable,not applicable,FGDC0011,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
12,01.01.12,Internal contact—Identity or existence are questionable. Location is approximate.,01.01.12 Internal contact—Identity or existence are questionable. Location is approximate.,A-1-1,not applicable,not applicable,FGDC0012,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
13,01.01.13,Internal contact—Identity and existence are certain. Location is inferred.,01.01.13 Internal contact—Identity and existence are certain. Location is inferred.,A-1-1,not applicable,not applicable,FGDC0013,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
14,01.01.14,Internal contact—Identity or existence are questionable. Location is inferred.,01.01.14 Internal contact—Identity or existence are questionable. Location is inferred.,A-1-1,not applicable,not applicable,FGDC0014,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
15,01.01.15,Internal contact—Identity and existence are certain. Location is concealed.,01.01.15 Internal contact—Identity and existence are certain. Location is concealed.,A-1-1,not applicable,not applicable,FGDC0015,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
